event,jsTime,studentId
进校,2017-05-12 15:14:22,1
进校,2017-05-12 15:14:31,2
进校,2017-05-12 15:14:25,3
进校,2017-05-12 15:14:23,4
进校,2017-05-12 15:14:31,5
进校,2017-05-12 15:14:19,6
进校,2017-05-12 15:14:14,7
进校,2017-05-12 15:14:28,8
进校,2017-05-12 15:14:17,9
进校,2017-05-12 15:14:30,10
进校,2017-05-12 15:14:23,11
进校,2017-05-12 15:14:31,12
进校,2017-05-12 15:14:11,13
校内,2017-05-12 15:14:33,15
进校,2017-05-12 15:14:11,17
进校,2017-05-12 15:14:25,18
进校,2017-05-12 15:14:18,19
进校,2017-05-12 15:14:28,20
进校,2017-05-12 15:14:24,21
进校,2017-05-12 15:14:30,22
校内,2017-05-12 15:14:09,23
进校,2017-05-12 15:14:19,24
进校,2017-05-12 15:14:10,25
进校,2017-05-12 15:14:16,26
进校,2017-05-12 15:14:31,27
进校,2017-05-12 15:14:11,28
进校,2017-05-12 15:14:17,29
进校,2017-05-12 15:14:31,30
进校,2017-05-12 15:14:29,31
进校,2017-05-12 15:14:31,34
进校,2017-05-12 15:14:29,35
进校,2017-05-12 15:14:22,36
进校,2017-05-12 15:14:23,37
进校,2017-05-12 15:14:30,38
进校,2017-05-12 15:14:22,39
进校,2017-05-12 15:14:23,40
进校,2017-05-12 15:14:14,42
进校,2017-05-12 15:14:28,43
进校,2017-05-12 15:14:24,51
进校,2017-05-12 15:14:29,52
校内,2017-05-12 15:14:25,53
进校,2017-05-12 15:14:33,54
进校,2017-05-12 15:14:23,56
进校,2017-05-12 15:14:16,57
进校,2017-05-12 15:14:29,58
进校,2017-05-12 15:14:30,59
进校,2017-05-12 15:14:28,60
进校,2017-05-12 15:14:29,62
进校,2017-05-12 15:14:09,63
进校,2017-05-12 15:14:29,64
进校,2017-05-12 15:14:14,65
进校,2017-05-12 15:14:19,67
进校,2017-05-12 15:14:30,69
进校,2017-05-12 15:14:26,70
校内,2017-05-12 15:14:31,71
进校,2017-05-12 15:14:26,72
进校,2017-05-12 15:14:10,74
进校,2017-05-12 15:14:16,75
进校,2017-05-12 15:14:23,76
进校,2017-05-12 15:14:24,77
进校,2017-05-12 15:14:30,79
进校,2017-05-12 15:14:33,80
进校,2017-05-12 15:14:15,81
进校,2017-05-12 15:14:30,82
进校,2017-05-12 15:14:24,83
进校,2017-05-12 15:14:33,84
进校,2017-05-12 15:14:25,87
进校,2017-05-12 15:14:30,88
进校,2017-05-12 15:14:23,89
进校,2017-05-12 15:14:23,90
进校,2017-05-12 15:14:28,91
进校,2017-05-12 15:14:31,92
进校,2017-05-12 15:14:22,93
进校,2017-05-12 15:14:12,95
进校,2017-05-12 15:14:24,96
进校,2017-05-12 15:14:22,97
进校,2017-05-12 15:14:23,98
进校,2017-05-12 15:14:25,99
校内,2017-05-12 15:14:04,100
